City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,Abha,18.2164,42.5053,51.8,93,0,1.97,SA,2021-01-07 01:56:20
232,Ambanja,-13.6833,48.45,73.33,88,73,3.22,MG,2021-01-07 01:56:20
233,Smolenskaya,44.7887,38.8018,39.0,86,0,4.47,RU,2021-01-07 01:56:20
234,Devonport,-41.1667,146.35,70.0,64,26,8.68,AU,2021-01-07 01:56:20
235,Batagay-Alyta,67.8006,130.4114,-12.33,85,100,3.47,RU,2021-01-07 01:56:21
236,Gulariya,28.2333,81.3333,58.8,48,0,5.19,NP,2021-01-07 01:56:21
237,Bandarbeyla,9.4942,50.8122,71.96,72,41,17.34,SO,2021-01-07 01:56:21
238,Saint-Prosper,46.2117,-70.4811,19.4,92,100,2.95,CA,2021-01-07 01:56:21
239,Vao,-22.6667,167.4833,79.27,81,0,16.84,NC,2021-01-07 01:56:22
240,Gua Musang,4.8823,101.9644,77.92,84,100,1.14,MY,2021-01-07 01:56:22
241,Salamiyah,35.0113,37.0532,50.72,70,100,1.41,SY,2021-01-07 01:56:22
242,Rome,34.257,-85.1647,42.8,56,1,4.7,US,2021-01-07 01:54:05
243,Mikhaylovka,50.06,43.2379,30.99,94,100,5.99,RU,2021-01-07 01:56:23
244,Pedernales,18.0384,-71.744,76.01,68,3,3.94,DO,2021-01-07 01:56:23
245,Simao,22.7886,100.9748,61.56,75,0,2.93,CN,2021-01-07 01:56:23
246,Kodiak,57.79,-152.4072,35.6,93,90,12.75,US,2021-01-07 01:56:23
247,Beauvais,49.4167,2.0,33.8,93,100,5.82,FR,2021-01-07 01:56:24
248,Stornoway,58.2093,-6.3865,35.01,86,93,4.7,GB,2021-01-07 01:56:24
249,Bengkulu,-3.8004,102.2655,80.71,79,42,11.25,ID,2021-01-07 01:56:24
250,Avera,33.194,-82.5271,42.8,81,1,4.7,US,2021-01-07 01:56:25
251,Silvania,-16.6589,-48.6081,78.8,83,40,3.36,BR,2021-01-07 01:56:25
252,Tessalit,20.1986,1.0114,66.92,23,14,9.69,ML,2021-01-07 01:56:25
253,Byron Bay,-28.65,153.6167,71.6,94,90,17.22,AU,2021-01-07 01:56:25
254,Ancud,-41.8697,-73.8203,57.99,76,90,14.99,CL,2021-01-07 01:53:01
255,Ostrovnoy,68.0531,39.5131,14.09,95,72,14.38,RU,2021-01-07 01:56:26
256,Port Hedland,-20.3167,118.5667,95.0,28,0,17.22,AU,2021-01-07 01:56:26
257,Rincon,32.296,-81.2354,48.2,66,90,3.85,US,2021-01-07 01:56:26
258,Limbang,4.75,115.0,82.4,83,75,2.24,MY,2021-01-07 01:56:27
259,Leningradskiy,69.3833,178.4167,-8.03,89,100,11.68,RU,2021-01-07 01:56:27
260,Mehamn,71.0357,27.8492,31.95,91,94,9.01,NO,2021-01-07 01:56:27
261,Ciochina,44.5833,27.0667,54.0,56,100,3.0,RO,2021-01-07 01:56:28
262,Kavaratti,10.5669,72.642,80.2,74,100,3.04,IN,2021-01-07 01:56:28
263,Kruisfontein,-34.0033,24.7314,58.91,94,0,1.97,ZA,2021-01-07 01:56:28
264,Cananea,30.95,-110.3,48.99,17,0,1.99,MX,2021-01-07 01:56:28
265,Hornepayne,49.2138,-84.7705,6.22,95,7,2.33,CA,2021-01-07 01:56:29
266,Waipawa,-41.4122,175.5153,73.4,60,17,26.4,NZ,2021-01-07 01:56:29
267,Tondano,1.3038,124.9112,80.6,83,40,3.36,ID,2021-01-07 01:56:29
268,Ucluelet,48.9329,-125.5528,46.0,100,75,4.7,CA,2021-01-07 01:53:09
269,Turukhansk,65.8167,87.9833,-19.73,87,100,11.54,RU,2021-01-07 01:56:29
270,Birao,10.2849,22.7882,68.32,23,0,6.85,CF,2021-01-07 01:56:30
271,Fortuna,40.5982,-124.1573,53.01,100,1,5.77,US,2021-01-07 01:56:30
272,Hovd,48.0056,91.6419,-10.97,70,0,0.56,MN,2021-01-07 01:56:30
273,Golden,39.7555,-105.2211,37.0,52,0,1.99,US,2021-01-07 01:52:10
274,Linxia,35.6003,103.2064,7.0,70,54,0.87,CN,2021-01-07 01:56:30
275,Mitchell,43.7094,-98.0298,33.8,98,90,4.7,US,2021-01-07 01:56:31
276,Meulaboh,4.1363,96.1285,80.67,79,94,3.38,ID,2021-01-07 01:56:31
277,George Town,5.4112,100.3354,81.0,83,20,4.7,MY,2021-01-07 01:55:17
278,Petropavlovsk-Kamchatskiy,53.0452,158.6483,10.4,66,71,4.47,RU,2021-01-07 01:56:31
279,Channel-Port Aux Basques,47.5702,-59.1367,41.45,92,99,6.64,CA,2021-01-07 01:56:32
280,Talnakh,69.4865,88.3972,-13.0,75,90,29.08,RU,2021-01-07 01:56:32
281,Grand Gaube,-20.0064,57.6608,73.0,80,42,3.0,MU,2021-01-07 01:56:32
282,Carbonear,47.7332,-53.2148,36.0,100,90,11.41,CA,2021-01-07 01:56:32
283,Kuchera,26.9839,73.9719,52.07,75,0,6.31,IN,2021-01-07 01:56:32
284,Amalapuram,16.5833,82.0167,71.6,88,75,5.82,IN,2021-01-07 01:54:14
285,College,64.8569,-147.8028,-5.8,69,75,2.91,US,2021-01-07 01:56:33
286,Malnas,46.0167,25.8333,37.0,83,100,1.99,RO,2021-01-07 01:56:33
287,Vestmannaeyjar,63.4427,-20.2734,26.56,88,0,21.74,IS,2021-01-07 01:56:33
288,Srednekolymsk,67.45,153.6833,-23.84,85,0,3.71,RU,2021-01-07 01:56:34
289,Gonen,40.1049,27.654,41.0,93,0,2.24,TR,2021-01-07 01:56:34
290,Mbumi,-7.9058,39.2105,73.9,96,25,1.66,TZ,2021-01-07 01:56:35
291,Quatre Cocos,-20.2078,57.7625,73.0,88,40,3.36,MU,2021-01-07 01:56:35
292,Iquique,-20.2208,-70.1431,73.4,60,75,11.41,CL,2021-01-07 01:56:35
